	109.15	-4324.70
	109.15	-20.65
	79.65	-8.85
	44.25	2.95
	35.40	11.80
	20.65	17.70
	-50.15	23.60
	-50.15	26.55
	-56.05	20.65
	-56.05	14.75
	-56.05	11.80
	-53.10	5.90
	-64.90	5.90
	-59.00	2.95
	-50.15	-2.95
	-50.15	-11.80
	-50.15	-8.85
	14.75	-20.65
	82.60	-32.45
	91.45	-32.45
	103.25	-26.55
	106.20	-20.65
	88.50	-8.85
	67.85	2.95
	44.25	8.85
	26.55	17.70
	-32.45	26.55
	-50.15	26.55
	-53.10	20.65
	-50.15	14.75
	-50.15	11.80
	-50.15	5.90
	-61.95	5.90
	-56.05	2.95
	-50.15	-2.95
	-26.55	-11.80
	-29.50	-8.85
	14.75	-20.65
	73.75	-32.45
	85.55	-29.50
	106.20	-26.55
	112.10	-23.60
	88.50	-8.85
	70.80	0.00
	44.25	8.85
	23.60	17.70
	-50.15	23.60
	-50.15	23.60
	-50.15	17.70
	-59.00	14.75
	-67.85	11.80
	-59.00	8.85
	-67.85	5.90
	-59.00	2.95
	-50.15	-2.95
	-50.15	-8.85
	-50.15	-8.85
	14.75	-20.65
	76.70	-50.15
	91.45	-29.50
	106.20	-23.60
	112.10	-17.70
	82.60	-2.95
	44.25	8.85
	38.35	17.70
	35.40	14.75
	-20.65	20.65
	-50.15	26.55
	-50.15	17.70
	-50.15	11.80
	-50.15	5.90
	-50.15	5.90
	-56.05	5.90
	-50.15	5.90
	-32.45	0.00
	-23.60	-5.90
	-23.60	-5.90
	14.75	-17.70
	67.85	-29.50
	82.60	-23.60
	103.25	-23.60
	106.20	-17.70
	85.55	-2.95
	70.80	5.90
	44.25	14.75
	26.55	20.65
	-29.50	26.55
	-50.15	29.50
	-50.15	20.65
	-50.15	17.70
	-50.15	11.80
	-50.15	5.90
	-61.95	5.90
	-59.00	5.90
	-50.15	-2.95
	-50.15	-8.85
	-50.15	-5.90
	11.80	-20.65
	76.70	-29.50
	91.45	-29.50
	103.25	-26.55
	103.25	-20.65
	82.60	-5.90
	64.90	2.95
	41.30	11.80
	20.65	17.70
	-50.15	26.55
	-50.15	26.55
	-50.15	17.70
	-50.15	14.75
	-50.15	8.85
	-50.15	5.90
	-64.90	2.95
	-56.05	0.00
	-50.15	-2.95
	-50.15	-8.85
	-50.15	-5.90
	11.80	-20.65
	76.70	-32.45
	91.45	-29.50
	109.15	-26.55
	109.15	-20.65
	88.50	-5.90
	67.85	2.95
	44.25	11.80
	29.50	17.70
	-50.15	26.55
	-53.10	29.50
	-59.00	23.60
	-50.15	17.70
	-50.15	11.80
	-53.10	5.90
	-64.90	5.90
	-56.05	2.95
	-50.15	-2.95
	-50.15	-8.85
	-32.45	-8.85
	11.80	-20.65
	70.80	-50.15
	85.55	-32.45
	103.25	-26.55
	109.15	-23.60
	82.60	-8.85
	61.95	0.00
	44.25	11.80
	32.45	17.70
	-50.15	20.65
	-50.15	23.60
	-56.05	17.70
	-53.10	14.75
	-56.05	8.85
	-56.05	5.90
	-64.90	2.95
	-61.95	2.95
	-53.10	-2.95
	-50.15	-8.85
	-50.15	-11.80
	8.85	-23.60
	79.65	-50.15
	97.35	-50.15
	118.00	-29.50
	115.05	-23.60
	88.50	-8.85
	76.70	0.00
	44.25	8.85
	26.55	20.65
	-26.55	23.60
	-50.15	26.55
	-61.95	20.65
	-56.05	14.75
	-53.10	8.85
	-53.10	5.90
	-61.95	5.90
	-59.00	2.95
	-50.15	-2.95
	-32.45	-8.85
	-23.60	-8.85
	8.85	-20.65
	70.80	-29.50
	94.40	-29.50
	112.10	-26.55
	112.10	-20.65
	88.50	-8.85
	79.65	0.00
	44.25	8.85
	26.55	17.70
	-50.15	26.55
	-50.15	29.50
	-59.00	26.55
	-56.05	17.70
	-56.05	11.80
	-50.15	5.90
	-59.00	5.90
	-53.10	2.95
	-50.15	-2.95
	-50.15	-8.85
	-32.45	-8.85
	11.80	-20.65
	79.65	-50.15
	91.45	-32.45
	106.20	-29.50
	109.15	-23.60
	88.50	-8.85
	64.90	0.00
	44.25	8.85
	29.50	17.70
	-32.45	23.60
	-50.15	29.50
	-50.15	20.65
	-50.15	17.70
	-50.15	11.80
	-50.15	8.85
	-59.00	5.90
	-56.05	2.95
	-50.15	-2.95
	-50.15	-5.90
	-50.15	-5.90
	8.85	-17.70
	76.70	-50.15
	88.50	-32.45
	103.25	-26.55
	112.10	-20.65
	91.45	-5.90
	70.80	2.95
	41.30	11.80
	23.60	17.70
	-32.45	26.55
	-53.10	29.50
	-53.10	20.65
	-53.10	17.70
	-53.10	11.80
	-50.15	8.85
	-64.90	5.90
	-59.00	5.90
	-50.15	-2.95
	-50.15	-5.90
	-50.15	-5.90
	8.85	-20.65
	76.70	-50.15
	91.45	-32.45
	106.20	-29.50
	109.15	-20.65
	85.55	-8.85
	67.85	0.00
	44.25	11.80
	26.55	17.70
	-50.15	26.55
	-53.10	26.55
	-59.00	20.65
	-53.10	14.75
	-50.15	8.85
	-50.15	5.90
	-53.10	2.95
	-61.95	5.90
	-50.15	-2.95
	-50.15	-5.90
	-50.15	-5.90
	11.80	-17.70
	76.70	-32.45
	91.45	-29.50
	106.20	-29.50
	106.20	-20.65
	88.50	-5.90
	64.90	2.95
	41.30	11.80
	23.60	17.70
	-50.15	26.55
	-50.15	26.55
	-50.15	20.65
	-50.15	14.75
	-50.15	11.80
	-50.15	8.85
	-59.00	5.90
	-59.00	2.95
	-50.15	-2.95
	-29.50	-8.85
	-50.15	-11.80
	8.85	-23.60
	73.75	-50.15
	88.50	-50.15
	106.20	-26.55
	109.15	-20.65
	91.45	-5.90
	64.90	0.00
	35.40	11.80
	20.65	14.75
	-50.15	20.65
	-53.10	23.60
	-59.00	20.65
	-59.00	14.75
	-53.10	8.85
	-50.15	5.90
	-61.95	5.90
	-59.00	2.95
	-50.15	-2.95
	-32.45	-11.80
	-50.15	-11.80
